id товара,наименование,ссылка на товар,регулярная цена,промо цена,бренд
1020145,https://4lapy.ru//catalog/koshki/korm-koshki/Pro_Plan_Nutri_Savour_konservirovannyy_korm_dlya_koshek_s_utkoy_pak__85g_1020145.html?offer=44297,"Sterilised влажный корм для взрослых кошек для стерилизованных с уткой, в соусе, 85 г",87,not_pomo_price,Pro Plan ®
1027904,https://4lapy.ru//catalog/koshki/korm-koshki/monge-cat-monoprotein-sterilized-duck-korm-dlya-sterilizovannyh-koshek-s-u.html?offer=81113,"Monoprotein Sterilised корм для стерилизованных кошек, с уткой, 1,5 кг",1815,not_pomo_price,Monge
1040784,https://4lapy.ru//catalog/koshki/korm-koshki/ownat-gf-prime-dlya-sterilizovannyh-koshek-1-kg.html?offer=113385,"Adult Sterilized Grain Free Сухой корм для стерилизованных кошек, с курицей и индейкой, 1 кг",1315,not_pomo_price,Ownat
1009310,https://4lapy.ru//catalog/koshki/korm-koshki/Pro_Plan_Delicate_konservirovannyy_korm_dlya_koshek_s_indeykoy_pak__85g_1009310.html?offer=43465,"Nutri Savour влажный корм для взрослых кошек с чувствительным пищеварением или особыми предпочтениями в еде, с индейкой в соусе, 85 г",87,not_pomo_price,Pro Plan ®
1040167,https://4lapy.ru//catalog/koshki/korm-koshki/suhoy-korm-grandorf-dlya-domashnih-koshek-yagnenok-s-risom-400g.html?offer=112517,"Сухой корм для домашних кошек, ягненок с индейкой, 2 кг",2365,not_pomo_price,Grandorf
1051858,https://4lapy.ru//catalog/koshki/korm-koshki/konservirovannyy-korm-dlya-vzroslykh-koshek-file-tuntsa-v-zhele.html?offer=140673,"Влажный корм (консервы) для взрослых кошек, филе тунца в желе, 80 гр.",155,not_pomo_price,Grandin
1043229,https://4lapy.ru//catalog/koshki/korm-koshki/vet-life-natural-diet-cat-renal.html?offer=119983,"Vet Life Renal диетический влажный корм для кошек при почечной недостаточности, с курицей, 85г",175,not_pomo_price,Farmina
1043181,https://4lapy.ru//catalog/koshki/korm-koshki/vet-life-natural-diet-cat-gastro-intestinal-400-gr.html?offer=120008,"Vet Life Gastrointestinal диетический сухой корм для кошек при заболеваниях ЖКТ, с курицей, 2кг",3045,not_pomo_price,Farmina
1004622,https://4lapy.ru//catalog/koshki/korm-koshki/Pro_Plan_Delicate_suhoy_korm_dlya_koshek_s_chuvstvitelnym_pishchevareniem_indeykaris.html?offer=43214,"Delicate сухой корм для взрослых кошек при чувствительном пищеварении с индейкой, 1,5 кг",1755,1491.75,Pro Plan ®
1043142,https://4lapy.ru//catalog/koshki/korm-koshki/farmina-n-d-prime-cat-lamb-blueberry-adult-300g.html?offer=119896,"N&D PRIME сухой корм для кошек, с ягненком и черникой, 1,5кг",2725,not_pomo_price,Farmina
1020143,https://4lapy.ru//catalog/koshki/korm-koshki/Pro_Plan_Nutri_Savour_konservirovannyy_korm_dlya_koshek_s_okeanicheskoy_ryboy_pak_85g_1020143.html?offer=44295,"Sterilised влажный корм для взрослых кошек для стерилизованных с океанической рыбой, в соусе, 85 г",87,not_pomo_price,Pro Plan ®
1004621,https://4lapy.ru//catalog/koshki/korm-koshki/Pro_Plan_After_Care_suhoy_korm_dlya_kastrirovannyhsterilizovannyh_koshek_kuritsakrolik.html?offer=41891,"Sterilised Сухой корм для взрослых кошек для поддержания здоровья почек после стерилизации, с кроликом, 1,5 кг",1755,1491.75,Pro Plan ®
1016932,https://4lapy.ru//catalog/koshki/korm-koshki/Pro_Plan_Nutri_Savour_Sterilised_konservirovannyy_korm_dlya_sterilizovannyh_koshek_s_Indeykoy__1016932.html?offer=44088,"Sterilised влажный корм для взрослых кошек для стерилизованных с индейкой, в желе, 85 г",87,not_pomo_price,Pro Plan ®
1040173,https://4lapy.ru//catalog/koshki/korm-koshki/suhoy-korm-grandorf-dlya-domashnih-koshek-chetyre-vida-myasa-s-burym-risom-400g.html?offer=112526,"Сухой корм для домашних кошек, четыре вида мяса, 2 кг",2569,not_pomo_price,Grandorf
1000862,https://4lapy.ru//catalog/koshki/korm-koshki/Royal_Canin_Urinary_SO_dieticheskiy_suhoy_korm_dlya_koshek_pri_MKB.html?offer=42570,"Urinary S/O LP34 корм для кошек при заболеваниях дистального отдела мочевыделительной системы, 1,5 кг",2515,not_pomo_price,Royal Canin
1043228,https://4lapy.ru//catalog/koshki/korm-koshki/vet-life-natural-diet-cat-gastrointestinal.html?offer=119981,"Vet Life Gastrointestinal диетический влажный корм для кошек при заболеваниях ЖКТ, 85г",175,not_pomo_price,Farmina
1051884,https://4lapy.ru//catalog/koshki/korm-koshki/indoor-suhoy-korm-dlya-koshek-s-yagnenkom.html?offer=140799,"Indoor Сухой корм для кошек, с ягненком, 1,5 кг",1599,1279.2,Grandin
1028267,https://4lapy.ru//catalog/koshki/korm-koshki/monge-cat-urinary-korm-dlya-koshek-profilaktika-mkb-1-5-kg.html?offer=82035,"Urinary корм для кошек для профилактики мочекаменной болезни, с курицей, 1,5 кг",1699,not_pomo_price,Monge
1000002,https://4lapy.ru//catalog/koshki/korm-koshki/Pro_Plan_After_Care_suhoy_korm_dlya_kastrirovannyhsterilizovannyh_koshekosostunets.html?offer=41879,"Sterilised сухой корм для взрослых кошек для поддержания здоровья почек после стерилизации с лососем, 1,5 кг",1755,1491.75,Pro Plan ®
1051856,https://4lapy.ru//catalog/koshki/korm-koshki/konservirovannyy-korm-dlya-vzroslykh-koshek-file-tuntsa-s-toppingom-iz-krevetok-v-zhele.html?offer=140669,"Влажный корм (консервы) для взрослых кошек, филе тунца с топпингом из креветок в желе, 80 гр.",155,not_pomo_price,Grandin
1050748,https://4lapy.ru//catalog/koshki/korm-koshki/classic-korm-dlya-koshek-daily-care-s-kuricey.html?offer=138252,"Classic Сухой корм для кошек Ежедневная забота, с курицей, 1.5 кг",825,not_pomo_price,Ownat
1005279,https://4lapy.ru//catalog/koshki/korm-koshki/Royal_Canin_Digest_Sensitive_pauch_dlya_vzroslyh_koshek_85_g_1005279.html?offer=41616,"Digest Sensitive кусочки в соусе для кошек с чувствительным пищеварением, 85 г",93,not_pomo_price,Royal Canin
1000888,https://4lapy.ru//catalog/koshki/korm-koshki/Royal_Canin_Kitten_Instinctive_pauch_dlya_kotyat_do_12_mesyatsev_85_g_1000888.html?offer=41608,"Kitten влажный корм для котят от 4 до 12 месяцев кусочки в соусе, 85 г",79,not_pomo_price,Royal Canin
1020142,https://4lapy.ru//catalog/koshki/korm-koshki/Korm_dlya_koshek_Proplan_Nutri_Seyvor_s_YAgnenkom_pak__85g_1020142.html?offer=31007,"Delicate влажный корм для взрослых кошек при чувствительном пищеварении с ягненком, в соусе, 85 г",87,not_pomo_price,Pro Plan ®
1003903,https://4lapy.ru//catalog/koshki/korm-koshki/Royal_Canin_31_Adult_suhoy_korm_dlya_koshek_porody_Meyn_Kun.html?offer=41942,"Maine Coon Adult корм для кошек породы мейн-кун старше 15 месяцев, 2 кг",2899,not_pomo_price,Royal Canin
1040165,https://4lapy.ru//catalog/koshki/korm-koshki/suhoy-korm-grandorf-dlya-kotyat-yagnenok-s-risom-400g.html?offer=112514,"Сухой корм для котят, ягненок с индейкой, 2 кг",2365,not_pomo_price,Grandorf
1054703,https://4lapy.ru//catalog/koshki/korm-koshki/korm-suhoy-dlya-kotyat-s-kuricey-i-indeykoy.html?offer=148698,"Корм сухой для котят, с курицей и индейкой, 1,5 кг",1499,1274.15,Mealfeel
1003547,https://4lapy.ru//catalog/koshki/korm-koshki/Royal_Canin_Gastro_Intestinal_GI_32_dieticheskiy_suhoy_korm_dlya_koshek_pri_narusheniyah_pishchevareniya.html?offer=48181,"Gastro Intestinal GI32 корм для кошек при лечении ЖКТ, 2 кг",3629,not_pomo_price,Royal Canin
1016698,https://4lapy.ru//catalog/koshki/korm-koshki/Pro_Plan_Sterilised_suhoy_korm_dlya_koshek_starshe_7et_indeyka.html?offer=41900,"Sterilised сухой корм для пожилых кошек для стерилизованных с индейкой, 1,5 кг",1755,1491.75,Pro Plan ®
